55,150,4,13
45,150,3,13
35,150,2,13
25,150,1,13
15,150,0,13
55,140,4,12
35,140,2,12
15,140,0,12
55,130,4,11
45,130,3,11
35,130,2,11
25,130,1,11
15,130,0,11
55,120,4,10
15,120,0,10
55,110,4,9
45,110,3,9
35,110,2,9
25,110,1,9
15,110,0,9
55,100,4,8
35,100,2,8
15,100,0,8
55,90,4,7
45,90,3,7
35,90,2,7
25,90,1,7
15,90,0,7
55,80,4,6
15,80,0,6
55,70,4,5
35,70,2,5
15,70,0,5
55,60,4,4
45,60,3,4
35,60,2,4
25,60,1,4
15,60,0,4
55,50,4,3
45,50,3,3
25,50,1,3
15,50,0,3
55,40,4,2
35,40,2,2
15,40,0,2
55,30,4,1
35,30,2,1
15,30,0,1
55,20,4,0
45,20,3,0
35,20,2,0
25,20,1,0
15,20,0,0
