53,52
53,48
48,53
45,48
42,45
38,42
33,38
30,33
28,30
23,28
20,23
15,20
13,15
8,13
5,8
5,8
53,52
53,52
48,53
45,48
42,45
38,42
33,38
30,33
28,30
23,28
20,23
15,20
13,15
8,13
5,8
5,4
52,51
52,51
52,47
44,45
41,42
37,41
37,32
30,32
27,26
27,22
19,18
19,15
12,11
12,7
4,3
4,3
51,50
51,50
47,51
44,47
44,40
36,35
32,36
32,26
26,25
22,26
18,22
18,17
11,10
7,11
3,7
3,2
50,49
50,49
50,46
43,44
40,39
35,40
35,31
29,31
25,24
25,21
17,16
17,14
10,9
10,6
2,1
2,1
49,50
49,50
46,49
43,46
39,43
34,39
31,34
29,31
24,29
21,24
16,21
14,16
9,14
6,9
1,6
1,2
49,50
49,46
46,49
43,46
39,43
34,39
31,34
29,31
24,29
21,24
16,21
14,16
9,14
6,9
1,6
1,6
